id;adresse_1;adresse_2;postal_code;city;country
1;models CFP Franc Human;Quality;76591;Port Rosannaland;Mozambique
2;secured line index;experiences Sports Handcrafted Concrete Chicken;99207;New Quincy;Tanzania
3;Michigan Cambridgeshire Pants;convergence;42173;South Nayeliburgh;Ethiopia
4;Chips override;Kids;74962;Port Melvinville;Aruba
5;Table Tuna;generate Berkshire invoice;53647;South Richiemouth;Norway
6;bypassing;capacitor;46131;East Rod;Chile
7;interactive;navigate Skyway orchid;88806;Moshetown;Mexico
8;contextually-based;Refined Soft Sausages National National;49655;New Wilhelmstad;Svalbard & Jan Mayen Islands
9;Assimilated transmit SCSI;Shirt;48004;Port Myrna;Netherlands
10;Cayman Islands Dollar;Bacon withdrawal;27304;Schuylermouth;Cuba
